Metro Area Name,Year,Total Senior Population (CPS),Senior Food Insecurity Rate,# of Food Insecure Seniors,Total Older Adults Population (CPS),Older Adult Food Insecurity Rate,# of Food Insecure Older Adults
"Charlotte-Concord-Gastonia, NC-SC",2019,"523,028",7.0%,"36,524","332,282",5.1%,"16,928"
"Charlotte-Concord-Gastonia, NC-SC",2020,"552,644",5.6%,"31,057","316,655",6.5%,"20,513"
"Charlotte-Concord-Gastonia, NC-SC",2021,"599,928",4.9%,"29,392","395,284",6.3%,"25,070"
"Charlotte-Concord-Gastonia, NC-SC",2022,"638,340",5.3%,"33,517","336,361",7.4%,"24,803"
"Charlotte-Concord-Gastonia, NC-SC",2023,"669,513",4.6%,"30,875","355,500",9.3%,"33,175"
"Chicago-Naperville-Elgin, IL-IN-WI",2019,"1,858,635",7.5%,"138,219","1,318,367",9.4%,"123,975"
"Chicago-Naperville-Elgin, IL-IN-WI",2020,"1,872,181",7.7%,"142,861","1,291,817",9.1%,"117,693"
"Chicago-Naperville-Elgin, IL-IN-WI",2021,"1,917,418",8.0%,"153,510","1,546,779",8.7%,"133,906"
"Chicago-Naperville-Elgin, IL-IN-WI",2022,"1,976,789",7.6%,"150,907","1,251,813",9.0%,"112,496"
"Chicago-Naperville-Elgin, IL-IN-WI",2023,"2,042,705",9.0%,"183,066","1,199,731",10.1%,"120,696"
"Cincinnati, OH-KY-IN",2019,"436,292",7.5%,"32,910","261,107",11.3%,"29,146"
"Cincinnati, OH-KY-IN",2020,"444,760",6.3%,"27,820","261,287",10.6%,"27,414"
"Cincinnati, OH-KY-IN",2021,"483,060",5.4%,"26,114","303,985",10.3%,"31,029"
"Cincinnati, OH-KY-IN",2022,"498,997",5.6%,"27,846","241,111",10.7%,"25,759"
"Cincinnati, OH-KY-IN",2023,"503,552",6.5%,"32,710","260,718",12.4%,"32,233"
"Cleveland-Elyria, OH",2022,"540,561",7.3%,"39,729","247,080",8.7%,"21,436"
"Cleveland-Elyria, OH",2023,"539,579",6.3%,"33,983","242,112",7.8%,"18,899"
"Cleveland-Elyria-Mentor, OH",2019,"541,699",8.7%,"46,904","286,339",11.8%,"33,587"
"Cleveland-Elyria-Mentor, OH",2020,"517,165",8.1%,"41,984","272,811",10.0%,"26,682"
"Cleveland-Elyria-Mentor, OH",2021,"527,258",6.5%,"34,288","314,114",11.4%,"35,270"
"Columbus, OH",2019,"395,697",5.7%,"22,564","290,651",10.3%,"29,719"
"Columbus, OH",2020,"441,869",5.2%,"22,802","315,389",11.1%,"34,622"
"Columbus, OH",2021,"461,961",7.1%,"32,744","375,738",11.1%,"41,447"
"Columbus, OH",2022,"467,617",7.8%,"36,592","307,360",12.0%,"36,971"
"Columbus, OH",2023,"462,572",8.7%,"40,022","317,453",12.8%,"40,596"
"Dallas-Fort Worth-Arlington, TX",2019,"1,197,963",7.6%,"90,379","922,201",10.7%,"97,215"
"Dallas-Fort Worth-Arlington, TX",2020,"1,242,913",6.9%,"85,621","928,545",8.8%,"81,693"
"Dallas-Fort Worth-Arlington, TX",2021,"1,274,234",6.7%,"85,435","1,114,671",10.1%,"112,003"
"Dallas-Fort Worth-Arlington, TX",2022,"1,292,819",7.5%,"97,238","891,167",11.4%,"102,013"
"Dallas-Fort Worth-Arlington, TX",2023,"1,307,630",9.2%,"119,767","907,423",13.2%,"119,532"
"Denver-Aurora-Lakewood, CO",2019,"574,556",5.6%,"31,935","346,518",3.4%,"11,727"
"Denver-Aurora-Lakewood, CO",2020,"544,837",6.6%,"35,889","357,613",2.8%,"9,909"
"Denver-Aurora-Lakewood, CO",2021,"566,103",8.8%,"49,837","415,605",4.5%,"18,810"
"Denver-Aurora-Lakewood, CO",2022,"584,914",8.4%,"49,044","337,225",5.4%,"18,148"
"Denver-Aurora-Lakewood, CO",2023,"592,814",8.5%,"50,246","370,483",6.4%,"23,727"
"Detroit-Warren-Dearborn, MI",2019,"1,072,775",7.3%,"78,136","573,529",11.5%,"66,154"
"Detroit-Warren-Dearborn, MI",2020,"1,074,577",7.1%,"75,675","610,082",10.3%,"62,684"
"Detroit-Warren-Dearborn, MI",2021,"1,089,803",6.7%,"73,273","715,225",9.1%,"65,145"
"Detroit-Warren-Dearborn, MI",2022,"1,072,649",6.8%,"72,976","628,128",9.5%,"59,830"
"Detroit-Warren-Dearborn, MI",2023,"1,050,168",7.3%,"76,329","642,978",9.9%,"63,504"
"Fresno, CA",2022,"161,904",11.1%,"18,023","99,221",5.9%,"5,883"
"Fresno, CA",2023,"159,861",13.8%,"22,071","96,554",11.1%,"10,679"
"Grand Rapids-Wyoming, MI",2022,"240,304",3.6%,"8,532","115,754",7.1%,"8,182"
"Grand Rapids-Wyoming, MI",2023,"251,248",3.4%,"8,458","113,313",9.0%,"10,169"
"Hartford-West Hartford-East Hartford, CT",2019,"292,143",9.7%,"27,972","191,579",16.4%,"31,365"
"Hartford-West Hartford-East Hartford, CT",2020,"310,548",8.5%,"25,971","197,359",14.9%,"29,176"
"Hartford-West Hartford-East Hartford, CT",2021,"333,049",7.0%,"23,007","222,688",14.1%,"30,776"
"Hartford-West Hartford-East Hartford, CT",2022,"332,794",7.1%,"23,598","174,757",11.5%,"20,115"
"Hartford-West Hartford-East Hartford, CT",2023,"324,056",5.4%,"17,348","168,328",13.2%,"22,269"
"Houston-Baytown-Sugar Land, TX",2019,"1,167,836",9.3%,"108,329","824,194",11.2%,"92,066"
"Houston-Baytown-Sugar Land, TX",2020,"1,155,081",10.3%,"118,905","860,251",12.5%,"107,523"
"Houston-Baytown-Sugar Land, TX",2021,"1,176,011",11.1%,"130,163","1,048,851",12.6%,"132,320"
"Houston-The Woodlands-Sugar Land, TX",2022,"1,214,255",11.5%,"139,454","919,786",12.6%,"115,978"
"Houston-The Woodlands-Sugar Land, TX",2023,"1,301,501",13.8%,"179,823","949,326",13.0%,"123,365"
"Indianapolis, IN",2019,"428,982",9.1%,"39,230","293,623",13.8%,"40,447"
"Indianapolis, IN",2020,"426,051",8.6%,"36,778","291,560",12.9%,"37,640"
