FIPS,State,District,Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Census Region,Census Division,FNS Region
2605,MI,"Congressional District 5, Michigan",2020,14.8%,"99,900",29%,23%,11%,200%,79%,21%,20.8%,"30,770",79%,21%,Midwest,East North Central,Midwest
2605,MI,"Congressional District 5, Michigan",2021,14.7%,"97,930",28%,19%,11%,200%,66%,34%,19.4%,"27,970",74%,26%,Midwest,East North Central,Midwest
2605,MI,"Congressional District 5 (118th Congress), Michigan",2022,14.6%,"111,850",32%,19%,12%,200%,56%,44%,16.3%,"26,200",75%,25%,Midwest,East North Central,Midwest
2605,MI,"Congressional District 5 (118th Congress), Michigan",2023,15.1%,"116,830",34%,20%,13%,200%,66%,34%,17.0%,"28,180",79%,21%,Midwest,East North Central,Midwest
2606,MI,"Congressional District 6 (116th Congress), Michigan",2019,13.1%,"94,830",28%,19%,11%,200%,68%,33%,12.9%,"20,730",78%,22%,Midwest,East North Central,Midwest
2606,MI,"Congressional District 6, Michigan",2020,11.3%,"81,250",28%,20%,9%,200%,76%,24%,12.4%,"19,980",88%,12%,Midwest,East North Central,Midwest
2606,MI,"Congressional District 6, Michigan",2021,11.1%,"79,990",29%,16%,10%,200%,63%,37%,10.6%,"17,030",87%,13%,Midwest,East North Central,Midwest
2606,MI,"Congressional District 6 (118th Congress), Michigan",2022,11.9%,"90,990",27%,16%,11%,200%,45%,55%,11.3%,"17,200",52%,48%,Midwest,East North Central,Midwest
2606,MI,"Congressional District 6 (118th Congress), Michigan",2023,13.2%,"100,620",28%,17%,12%,200%,45%,55%,12.6%,"18,960",44%,56%,Midwest,East North Central,Midwest
2607,MI,"Congressional District 7 (116th Congress), Michigan",2019,12.2%,"86,890",24%,18%,11%,200%,60%,40%,11.4%,"16,960",79%,21%,Midwest,East North Central,Midwest
2607,MI,"Congressional District 7, Michigan",2020,10.2%,"72,210",23%,19%,9%,200%,69%,31%,9.7%,"14,800",95%,5%,Midwest,East North Central,Midwest
2607,MI,"Congressional District 7, Michigan",2021,10.2%,"72,980",24%,15%,9%,200%,53%,47%,8.9%,"13,430",81%,20%,Midwest,East North Central,Midwest
2607,MI,"Congressional District 7 (118th Congress), Michigan",2022,12.8%,"99,670",31%,20%,11%,200%,50%,50%,12.9%,"20,460",66%,34%,Midwest,East North Central,Midwest
2607,MI,"Congressional District 7 (118th Congress), Michigan",2023,13.7%,"107,220",34%,20%,12%,200%,55%,45%,13.8%,"21,850",54%,46%,Midwest,East North Central,Midwest
2608,MI,"Congressional District 8 (116th Congress), Michigan",2019,11.2%,"82,600",25%,17%,10%,200%,54%,46%,8.4%,"12,690",76%,24%,Midwest,East North Central,Midwest
2608,MI,"Congressional District 8, Michigan",2020,9.3%,"68,980",26%,18%,8%,200%,62%,38%,7.4%,"11,670",84%,16%,Midwest,East North Central,Midwest
2608,MI,"Congressional District 8, Michigan",2021,9.9%,"73,790",26%,15%,8%,200%,46%,54%,6.8%,"10,430",73%,27%,Midwest,East North Central,Midwest
2608,MI,"Congressional District 8 (118th Congress), Michigan",2022,16.6%,"127,360",33%,22%,13%,200%,60%,40%,23.0%,"37,440",70%,30%,Midwest,East North Central,Midwest
2608,MI,"Congressional District 8 (118th Congress), Michigan",2023,17.7%,"135,460",36%,23%,14%,200%,70%,30%,23.7%,"38,690",77%,23%,Midwest,East North Central,Midwest
2609,MI,"Congressional District 9 (116th Congress), Michigan",2019,11.7%,"84,390",23%,15%,11%,200%,65%,35%,12.4%,"17,120",75%,25%,Midwest,East North Central,Midwest
2609,MI,"Congressional District 9, Michigan",2020,10.6%,"76,080",24%,16%,9%,200%,70%,30%,12.8%,"18,130",79%,21%,Midwest,East North Central,Midwest
2609,MI,"Congressional District 9, Michigan",2021,11.9%,"84,430",25%,13%,9%,200%,54%,47%,14.3%,"19,120",68%,32%,Midwest,East North Central,Midwest
2609,MI,"Congressional District 9 (118th Congress), Michigan",2022,12.4%,"96,080",22%,18%,11%,200%,47%,53%,11.7%,"19,270",66%,34%,Midwest,East North Central,Midwest
2609,MI,"Congressional District 9 (118th Congress), Michigan",2023,13.2%,"101,610",26%,19%,12%,200%,53%,47%,14.0%,"22,280",60%,40%,Midwest,East North Central,Midwest
2610,MI,"Congressional District 10 (116th Congress), Michigan",2019,11.2%,"81,050",19%,17%,11%,200%,56%,44%,9.8%,"14,880",76%,24%,Midwest,East North Central,Midwest
2610,MI,"Congressional District 10, Michigan",2020,10.0%,"72,290",21%,18%,9%,200%,64%,36%,8.7%,"13,360",88%,12%,Midwest,East North Central,Midwest
2610,MI,"Congressional District 10, Michigan",2021,10.8%,"78,150",21%,15%,9%,200%,52%,48%,9.7%,"15,290",80%,20%,Midwest,East North Central,Midwest
2610,MI,"Congressional District 10 (118th Congress), Michigan",2022,13.1%,"100,500",28%,15%,12%,200%,49%,51%,17.1%,"26,250",62%,38%,Midwest,East North Central,Midwest
2610,MI,"Congressional District 10 (118th Congress), Michigan",2023,14.2%,"109,040",31%,17%,13%,200%,60%,40%,18.4%,"28,510",64%,36%,Midwest,East North Central,Midwest
2611,MI,"Congressional District 11 (116th Congress), Michigan",2019,8.7%,"63,840",18%,14%,8%,200%,39%,61%,4.7%,"7,260",69%,31%,Midwest,East North Central,Midwest
2611,MI,"Congressional District 11, Michigan",2020,7.3%,"53,780",19%,15%,6%,200%,50%,50%,3.7%,"5,720",100%,0%,Midwest,East North Central,Midwest
2611,MI,"Congressional District 11, Michigan",2021,8.1%,"61,410",20%,12%,7%,200%,37%,63%,4.3%,"6,770",79%,21%,Midwest,East North Central,Midwest
2611,MI,"Congressional District 11 (118th Congress), Michigan",2022,12.5%,"96,600",26%,19%,10%,200%,44%,56%,12.8%,"18,590",64%,36%,Midwest,East North Central,Midwest
2611,MI,"Congressional District 11 (118th Congress), Michigan",2023,13.3%,"102,280",30%,19%,11%,200%,50%,50%,14.7%,"21,940",57%,43%,Midwest,East North Central,Midwest
2612,MI,"Congressional District 12 (116th Congress), Michigan",2019,13.7%,"96,430",23%,17%,13%,200%,63%,38%,14.0%,"20,230",74%,26%,Midwest,East North Central,Midwest
2612,MI,"Congressional District 12, Michigan",2020,11.6%,"82,170",23%,18%,11%,200%,73%,27%,12.6%,"18,620",87%,13%,Midwest,East North Central,Midwest
2612,MI,"Congressional District 12, Michigan",2021,12.2%,"90,380",23%,15%,11%,200%,59%,41%,12.7%,"19,960",79%,21%,Midwest,East North Central,Midwest
2612,MI,"Congressional District 12 (118th Congress), Michigan",2022,16.5%,"125,310",29%,20%,14%,200%,61%,39%,31.0%,"55,660",77%,23%,Midwest,East North Central,Midwest
2612,MI,"Congressional District 12 (118th Congress), Michigan",2023,19.0%,"140,590",31%,22%,15%,200%,70%,30%,30.3%,"49,830",73%,27%,Midwest,East North Central,Midwest
2613,MI,"Congressional District 13 (116th Congress), Michigan",2019,18.6%,"125,180",29%,22%,16%,200%,78%,22%,29.3%,"48,440",62%,38%,Midwest,East North Central,Midwest
2613,MI,"Congressional District 13, Michigan",2020,18.7%,"125,600",28%,23%,14%,200%,84%,16%,32.8%,"54,380",77%,23%,Midwest,East North Central,Midwest
2613,MI,"Congressional District 13, Michigan",2021,18.2%,"123,050",28%,20%,15%,200%,70%,30%,31.8%,"53,300",80%,20%,Midwest,East North Central,Midwest
2613,MI,"Congressional District 13 (118th Congress), Michigan",2022,19.1%,"144,930",34%,23%,15%,200%,67%,33%,34.2%,"60,950",76%,24%,Midwest,East North Central,Midwest
2613,MI,"Congressional District 13 (118th Congress), Michigan",2023,21.6%,"166,730",36%,24%,15%,200%,79%,21%,34.8%,"67,550",86%,14%,Midwest,East North Central,Midwest
2614,MI,"Congressional District 14 (116th Congress), Michigan",2019,15.2%,"104,990",25%,22%,12%,200%,71%,29%,24.0%,"38,890",59%,41%,Midwest,East North Central,Midwest
2614,MI,"Congressional District 14, Michigan",2020,15.3%,"105,530",25%,23%,10%,200%,76%,25%,28.5%,"44,750",69%,31%,Midwest,East North Central,Midwest
2614,MI,"Congressional District 14, Michigan",2021,13.7%,"91,990",24%,20%,10%,200%,61%,39%,25.7%,"38,490",71%,29%,Midwest,East North Central,Midwest
2701,MN,"Congressional District 1 (116th Congress), Minnesota",2019,7.4%,"50,230",30%,22%,7%,165%,63%,37%,10.1%,"15,850",83%,17%,Midwest,West North Central,Midwest
2701,MN,"Congressional District 1, Minnesota",2020,6.0%,"40,740",29%,21%,5%,165%,74%,26%,8.8%,"13,710",100%,0%,Midwest,West North Central,Midwest
2701,MN,"Congressional District 1, Minnesota",2021,6.7%,"46,470",29%,18%,5%,200%,66%,34%,8.7%,"13,800",100%,0%,Midwest,West North Central,Midwest
2701,MN,"Congressional District 1 (118th Congress), Minnesota",2022,10.1%,"72,360",34%,24%,8%,200%,55%,45%,15.0%,"23,560",66%,34%,Midwest,West North Central,Midwest
2701,MN,"Congressional District 1 (118th Congress), Minnesota",2023,10.5%,"74,650",39%,27%,8%,200%,65%,35%,13.9%,"21,900",69%,31%,Midwest,West North Central,Midwest
2702,MN,"Congressional District 2 (116th Congress), Minnesota",2019,5.7%,"40,660",20%,20%,4%,165%,48%,52%,8.5%,"14,920",62%,38%,Midwest,West North Central,Midwest
2702,MN,"Congressional District 2, Minnesota",2020,4.0%,"28,120",19%,19%,3%,165%,64%,36%,6.4%,"11,270",89%,11%,Midwest,West North Central,Midwest
2702,MN,"Congressional District 2, Minnesota",2021,4.6%,"33,640",19%,16%,3%,200%,51%,49%,6.2%,"11,090",76%,24%,Midwest,West North Central,Midwest
2702,MN,"Congressional District 2 (118th Congress), Minnesota",2022,7.3%,"53,120",22%,22%,5%,200%,40%,60%,10.9%,"18,960",50%,50%,Midwest,West North Central,Midwest
2702,MN,"Congressional District 2 (118th Congress), Minnesota",2023,8.7%,"63,900",27%,23%,6%,200%,47%,53%,12.0%,"21,100",55%,46%,Midwest,West North Central,Midwest
2703,MN,"Congressional District 3 (116th Congress), Minnesota",2019,5.2%,"37,660",20%,18%,4%,165%,47%,54%,7.0%,"11,940",57%,43%,Midwest,West North Central,Midwest
2703,MN,"Congressional District 3, Minnesota",2020,3.7%,"26,470",20%,17%,2%,165%,59%,41%,5.5%,"9,430",84%,16%,Midwest,West North Central,Midwest
2703,MN,"Congressional District 3, Minnesota",2021,5.2%,"38,440",21%,15%,3%,200%,47%,53%,6.8%,"11,710",72%,28%,Midwest,West North Central,Midwest
2703,MN,"Congressional District 3 (118th Congress), Minnesota",2022,7.7%,"53,680",26%,21%,6%,200%,42%,58%,12.3%,"19,690",55%,45%,Midwest,West North Central,Midwest
2703,MN,"Congressional District 3 (118th Congress), Minnesota",2023,9.0%,"63,180",30%,22%,6%,200%,46%,54%,12.8%,"20,760",57%,43%,Midwest,West North Central,Midwest
2704,MN,"Congressional District 4 (116th Congress), Minnesota",2019,8.8%,"63,310",26%,21%,6%,165%,63%,37%,13.4%,"22,500",78%,22%,Midwest,West North Central,Midwest
2704,MN,"Congressional District 4, Minnesota",2020,7.2%,"51,670",25%,20%,5%,165%,69%,31%,12.4%,"20,960",92%,8%,Midwest,West North Central,Midwest
2704,MN,"Congressional District 4, Minnesota",2021,7.8%,"56,540",26%,17%,5%,200%,58%,42%,12.0%,"20,160",90%,10%,Midwest,West North Central,Midwest
2704,MN,"Congressional District 4 (118th Congress), Minnesota",2022,10.3%,"72,200",30%,24%,7%,200%,57%,43%,17.8%,"29,080",74%,26%,Midwest,West North Central,Midwest
2704,MN,"Congressional District 4 (118th Congress), Minnesota",2023,11.0%,"76,830",34%,26%,8%,200%,59%,41%,16.2%,"25,920",77%,23%,Midwest,West North Central,Midwest
2705,MN,"Congressional District 5 (116th Congress), Minnesota",2019,10.4%,"75,130",28%,21%,8%,165%,68%,32%,16.1%,"23,780",74%,26%,Midwest,West North Central,Midwest
2705,MN,"Congressional District 5, Minnesota",2020,8.5%,"60,790",27%,20%,6%,165%,73%,27%,16.0%,"23,460",83%,18%,Midwest,West North Central,Midwest
2705,MN,"Congressional District 5, Minnesota",2021,9.2%,"66,880",28%,17%,6%,200%,61%,39%,14.5%,"21,180",76%,24%,Midwest,West North Central,Midwest
2705,MN,"Congressional District 5 (118th Congress), Minnesota",2022,11.4%,"80,900",33%,23%,9%,200%,57%,43%,19.7%,"27,600",72%,28%,Midwest,West North Central,Midwest
2705,MN,"Congressional District 5 (118th Congress), Minnesota",2023,12.4%,"86,820",37%,26%,10%,200%,61%,39%,17.9%,"24,450",75%,25%,Midwest,West North Central,Midwest
2706,MN,"Congressional District 6 (116th Congress), Minnesota",2019,6.1%,"44,330",26%,18%,5%,165%,48%,52%,8.6%,"15,840",67%,33%,Midwest,West North Central,Midwest
2706,MN,"Congressional District 6, Minnesota",2020,4.3%,"30,680",24%,16%,3%,165%,64%,36%,6.1%,"11,200",88%,12%,Midwest,West North Central,Midwest
2706,MN,"Congressional District 6, Minnesota",2021,5.1%,"37,630",24%,13%,4%,200%,57%,43%,6.5%,"12,450",91%,9%,Midwest,West North Central,Midwest
2706,MN,"Congressional District 6 (118th Congress), Minnesota",2022,7.4%,"54,060",28%,19%,6%,200%,46%,54%,10.5%,"19,120",59%,41%,Midwest,West North Central,Midwest
2706,MN,"Congressional District 6 (118th Congress), Minnesota",2023,8.7%,"64,850",30%,22%,6%,200%,52%,48%,11.8%,"22,370",63%,37%,Midwest,West North Central,Midwest
2707,MN,"Congressional District 7 (116th Congress), Minnesota",2019,8.7%,"57,800",31%,22%,7%,165%,63%,38%,12.3%,"19,450",83%,17%,Midwest,West North Central,Midwest
2707,MN,"Congressional District 7, Minnesota",2020,6.9%,"46,110",29%,21%,5%,165%,72%,28%,9.8%,"15,420",100%,0%,Midwest,West North Central,Midwest
2707,MN,"Congressional District 7, Minnesota",2021,7.9%,"52,780",31%,19%,6%,200%,65%,35%,10.0%,"15,420",93%,7%,Midwest,West North Central,Midwest
2707,MN,"Congressional District 7 (118th Congress), Minnesota",2022,9.9%,"70,700",35%,26%,8%,200%,56%,44%,13.6%,"22,030",69%,32%,Midwest,West North Central,Midwest
2707,MN,"Congressional District 7 (118th Congress), Minnesota",2023,11.3%,"80,640",40%,28%,9%,200%,66%,34%,15.0%,"24,530",75%,25%,Midwest,West North Central,Midwest
2708,MN,"Congressional District 8 (116th Congress), Minnesota",2019,9.4%,"63,050",27%,22%,8%,165%,58%,42%,12.6%,"17,630",75%,25%,Midwest,West North Central,Midwest
2708,MN,"Congressional District 8, Minnesota",2020,8.0%,"53,420",28%,21%,6%,165%,68%,33%,11.2%,"15,690",94%,6%,Midwest,West North Central,Midwest
2708,MN,"Congressional District 8, Minnesota",2021,8.4%,"57,620",32%,19%,7%,200%,64%,37%,10.5%,"14,840",86%,14%,Midwest,West North Central,Midwest
2708,MN,"Congressional District 8 (118th Congress), Minnesota",2022,11.2%,"80,870",34%,26%,9%,200%,58%,42%,15.6%,"23,440",71%,29%,Midwest,West North Central,Midwest
2708,MN,"Congressional District 8 (118th Congress), Minnesota",2023,11.7%,"85,320",36%,27%,9%,200%,64%,36%,16.2%,"23,980",68%,32%,Midwest,West North Central,Midwest
2801,MS,"Congressional District 1 (116th Congress), Mississippi",2019,15.5%,"119,060",25%,16%,13%,130%,48%,52%,15.5%,"27,850",83%,17%,South,East South Central,Southeast
2801,MS,"Congressional District 1, Mississippi",2020,14.1%,"108,070",24%,21%,10%,130%,49%,51%,14.9%,"27,010",86%,14%,South,East South Central,Southeast
2801,MS,"Congressional District 1, Mississippi",2021,14.2%,"108,310",23%,18%,11%,130%,37%,63%,12.9%,"23,330",77%,23%,South,East South Central,Southeast
2801,MS,"Congressional District 1 (118th Congress), Mississippi",2022,16.9%,"126,500",27%,24%,13%,130%,35%,65%,18.2%,"31,570",79%,21%,South,East South Central,Southeast
2801,MS,"Congressional District 1 (118th Congress), Mississippi",2023,17.1%,"127,450",29%,26%,14%,130%,45%,56%,18.1%,"31,140",71%,29%,South,East South Central,Southeast
2802,MS,"Congressional District 2 (116th Congress), Mississippi",2019,21.1%,"146,060",29%,18%,13%,130%,65%,35%,32.2%,"54,400",67%,33%,South,East South Central,Southeast
2802,MS,"Congressional District 2, Mississippi",2020,18.7%,"130,180",29%,24%,10%,130%,66%,34%,30.9%,"52,770",78%,23%,South,East South Central,Southeast
2802,MS,"Congressional District 2, Mississippi",2021,19.0%,"125,570",27%,22%,11%,130%,50%,50%,30.3%,"48,430",73%,27%,South,East South Central,Southeast
2802,MS,"Congressional District 2 (118th Congress), Mississippi",2022,20.5%,"144,320",31%,28%,14%,130%,43%,57%,32.9%,"53,700",77%,23%,South,East South Central,Southeast
2802,MS,"Congressional District 2 (118th Congress), Mississippi",2023,22.3%,"156,350",34%,32%,15%,130%,54%,46%,32.6%,"52,700",78%,22%,South,East South Central,Southeast
2803,MS,"Congressional District 3 (116th Congress), Mississippi",2019,17.2%,"127,130",26%,17%,12%,130%,50%,50%,18.8%,"32,120",69%,31%,South,East South Central,Southeast
2803,MS,"Congressional District 3, Mississippi",2020,14.9%,"111,620",26%,23%,10%,130%,52%,48%,17.2%,"29,690",77%,23%,South,East South Central,Southeast
2803,MS,"Congressional District 3, Mississippi",2021,14.8%,"110,090",24%,20%,11%,130%,41%,59%,16.1%,"27,720",68%,32%,South,East South Central,Southeast
2803,MS,"Congressional District 3 (118th Congress), Mississippi",2022,17.6%,"129,420",28%,27%,13%,130%,38%,63%,21.2%,"35,260",75%,26%,South,East South Central,Southeast
2803,MS,"Congressional District 3 (118th Congress), Mississippi",2023,18.9%,"140,020",30%,28%,14%,130%,49%,52%,21.9%,"37,480",73%,27%,South,East South Central,Southeast
2804,MS,"Congressional District 4 (116th Congress), Mississippi",2019,20.4%,"158,120",30%,19%,15%,130%,53%,47%,23.3%,"41,750",81%,19%,South,East South Central,Southeast
2804,MS,"Congressional District 4, Mississippi",2020,17.3%,"133,830",29%,23%,12%,130%,51%,50%,19.2%,"34,850",82%,18%,South,East South Central,Southeast
2804,MS,"Congressional District 4, Mississippi",2021,17.5%,"136,630",29%,21%,13%,130%,39%,62%,17.2%,"30,760",72%,28%,South,East South Central,Southeast
2804,MS,"Congressional District 4 (118th Congress), Mississippi",2022,20.4%,"153,370",33%,28%,15%,130%,40%,60%,22.4%,"38,840",72%,28%,South,East South Central,Southeast
2804,MS,"Congressional District 4 (118th Congress), Mississippi",2023,19.7%,"147,840",34%,30%,16%,130%,51%,49%,19.9%,"33,870",78%,22%,South,East South Central,Southeast
2901,MO,"Congressional District 1 (116th Congress), Missouri",2019,14.1%,"102,760",28%,16%,12%,130%,58%,42%,23.3%,"36,770",47%,53%,Midwest,West North Central,Mountain Plains
2901,MO,"Congressional District 1, Missouri",2020,12.8%,"93,020",27%,14%,9%,130%,61%,39%,25.8%,"40,320",63%,37%,Midwest,West North Central,Mountain Plains
2901,MO,"Congressional District 1, Missouri",2021,12.9%,"91,390",26%,12%,10%,130%,44%,56%,25.3%,"38,320",70%,30%,Midwest,West North Central,Mountain Plains
2901,MO,"Congressional District 1 (118th Congress), Missouri",2022,15.4%,"114,240",31%,19%,12%,130%,37%,63%,31.4%,"48,480",61%,39%,Midwest,West North Central,Mountain Plains
2901,MO,"Congressional District 1 (118th Congress), Missouri",2023,17.2%,"127,790",33%,22%,13%,130%,43%,57%,29.7%,"45,490",64%,36%,Midwest,West North Central,Mountain Plains
2902,MO,"Congressional District 2 (116th Congress), Missouri",2019,8.5%,"63,690",20%,10%,7%,130%,23%,77%,6.3%,"9,810",57%,43%,Midwest,West North Central,Mountain Plains
2902,MO,"Congressional District 2, Missouri",2020,7.0%,"53,130",20%,10%,5%,130%,27%,73%,4.7%,"7,760",71%,29%,Midwest,West North Central,Mountain Plains
2902,MO,"Congressional District 2, Missouri",2021,7.7%,"58,600",19%,8%,6%,130%,22%,79%,4.5%,"7,340",63%,37%,Midwest,West North Central,Mountain Plains
2902,MO,"Congressional District 2 (118th Congress), Missouri",2022,11.1%,"86,810",25%,14%,9%,130%,18%,82%,9.6%,"16,580",49%,51%,Midwest,West North Central,Mountain Plains
2902,MO,"Congressional District 2 (118th Congress), Missouri",2023,11.8%,"89,900",28%,16%,9%,130%,25%,75%,10.2%,"17,120",45%,55%,Midwest,West North Central,Mountain Plains
2903,MO,"Congressional District 3 (116th Congress), Missouri",2019,10.7%,"85,820",25%,12%,9%,130%,32%,68%,11.0%,"20,400",65%,35%,Midwest,West North Central,Mountain Plains
2903,MO,"Congressional District 3, Missouri",2020,9.1%,"72,760",24%,11%,7%,130%,36%,64%,9.4%,"17,220",74%,26%,Midwest,West North Central,Mountain Plains
2903,MO,"Congressional District 3, Missouri",2021,9.7%,"79,330",21%,9%,8%,130%,27%,73%,8.2%,"15,350",65%,35%,Midwest,West North Central,Mountain Plains
2903,MO,"Congressional District 3 (118th Congress), Missouri",2022,13.3%,"102,830",29%,17%,10%,130%,28%,73%,13.5%,"21,320",55%,45%,Midwest,West North Central,Mountain Plains
2903,MO,"Congressional District 3 (118th Congress), Missouri",2023,13.9%,"108,320",30%,20%,11%,130%,36%,64%,14.5%,"23,490",56%,45%,Midwest,West North Central,Mountain Plains
2904,MO,"Congressional District 4 (116th Congress), Missouri",2019,14.5%,"112,310",29%,15%,13%,130%,48%,53%,15.6%,"26,570",73%,27%,Midwest,West North Central,Mountain Plains
2904,MO,"Congressional District 4, Missouri",2020,12.3%,"95,010",29%,14%,10%,130%,50%,50%,13.7%,"23,690",85%,15%,Midwest,West North Central,Mountain Plains
2904,MO,"Congressional District 4, Missouri",2021,12.9%,"101,390",28%,13%,11%,130%,39%,61%,12.9%,"22,370",75%,25%,Midwest,West North Central,Mountain Plains
2904,MO,"Congressional District 4 (118th Congress), Missouri",2022,15.9%,"123,790",32%,19%,13%,130%,34%,66%,18.1%,"32,580",70%,30%,Midwest,West North Central,Mountain Plains
2904,MO,"Congressional District 4 (118th Congress), Missouri",2023,16.0%,"125,880",34%,20%,14%,130%,44%,56%,17.8%,"32,320",73%,28%,Midwest,West North Central,Mountain Plains
2905,MO,"Congressional District 5 (116th Congress), Missouri",2019,13.2%,"102,990",27%,15%,12%,130%,49%,51%,17.7%,"31,260",62%,38%,Midwest,West North Central,Mountain Plains
2905,MO,"Congressional District 5, Missouri",2020,11.8%,"91,470",27%,14%,9%,130%,53%,47%,18.0%,"31,940",72%,28%,Midwest,West North Central,Mountain Plains
2905,MO,"Congressional District 5, Missouri",2021,12.2%,"95,520",26%,12%,10%,130%,37%,63%,16.8%,"29,390",67%,33%,Midwest,West North Central,Mountain Plains
2905,MO,"Congressional District 5 (118th Congress), Missouri",2022,14.8%,"114,620",31%,19%,12%,130%,35%,65%,21.8%,"37,630",65%,35%,Midwest,West North Central,Mountain Plains
2905,MO,"Congressional District 5 (118th Congress), Missouri",2023,15.8%,"120,450",33%,21%,13%,130%,40%,60%,21.3%,"36,200",71%,29%,Midwest,West North Central,Mountain Plains
2906,MO,"Congressional District 6 (116th Congress), Missouri",2019,12.1%,"94,340",24%,12%,10%,130%,40%,60%,12.2%,"22,200",69%,32%,Midwest,West North Central,Mountain Plains
2906,MO,"Congressional District 6, Missouri",2020,10.0%,"77,240",24%,10%,8%,130%,43%,57%,10.0%,"18,350",85%,15%,Midwest,West North Central,Mountain Plains
2906,MO,"Congressional District 6, Missouri",2021,10.7%,"84,390",23%,10%,9%,130%,32%,68%,10.4%,"19,520",63%,37%,Midwest,West North Central,Mountain Plains
2906,MO,"Congressional District 6 (118th Congress), Missouri",2022,15.2%,"116,990",30%,17%,12%,130%,34%,66%,16.6%,"29,160",67%,33%,Midwest,West North Central,Mountain Plains
2906,MO,"Congressional District 6 (118th Congress), Missouri",2023,14.2%,"111,230",31%,19%,13%,130%,39%,61%,14.5%,"26,030",69%,31%,Midwest,West North Central,Mountain Plains
2907,MO,"Congressional District 7 (116th Congress), Missouri",2019,15.6%,"122,660",30%,16%,13%,130%,51%,49%,16.1%,"28,730",79%,21%,Midwest,West North Central,Mountain Plains
2907,MO,"Congressional District 7, Missouri",2020,12.9%,"100,670",31%,16%,11%,130%,53%,47%,14.1%,"24,900",92%,8%,Midwest,West North Central,Mountain Plains
2907,MO,"Congressional District 7, Missouri",2021,12.7%,"101,860",29%,13%,11%,130%,39%,61%,11.5%,"20,710",83%,17%,Midwest,West North Central,Mountain Plains
2907,MO,"Congressional District 7 (118th Congress), Missouri",2022,16.5%,"129,530",34%,21%,14%,130%,37%,63%,18.6%,"32,780",77%,23%,Midwest,West North Central,Mountain Plains
2907,MO,"Congressional District 7 (118th Congress), Missouri",2023,16.9%,"133,590",34%,22%,14%,130%,48%,52%,18.6%,"33,050",76%,24%,Midwest,West North Central,Mountain Plains
2908,MO,"Congressional District 8 (116th Congress), Missouri",2019,17.0%,"125,110",34%,19%,15%,130%,51%,49%,20.1%,"33,160",73%,27%,Midwest,West North Central,Mountain Plains
2908,MO,"Congressional District 8, Missouri",2020,15.3%,"112,530",35%,18%,12%,130%,56%,44%,18.1%,"29,890",84%,16%,Midwest,West North Central,Mountain Plains
2908,MO,"Congressional District 8, Missouri",2021,14.2%,"102,690",34%,16%,12%,130%,42%,58%,14.9%,"24,320",81%,19%,Midwest,West North Central,Mountain Plains
2908,MO,"Congressional District 8 (118th Congress), Missouri",2022,17.5%,"135,370",37%,22%,14%,130%,40%,60%,20.9%,"36,190",77%,23%,Midwest,West North Central,Mountain Plains
2908,MO,"Congressional District 8 (118th Congress), Missouri",2023,17.1%,"134,170",39%,23%,14%,130%,48%,52%,19.4%,"34,920",74%,26%,Midwest,West North Central,Mountain Plains
3000,MT,"Congressional District (at Large) (116th Congress), Montana",2019,10.4%,"111,080",,14%,9%,200%,61%,39%,15.7%,"35,500",61%,39%,West,Mountain,Mountain Plains
3000,MT,"Congressional District (at Large), Montana",2020,8.5%,"90,220",,16%,7%,200%,73%,27%,13.6%,"31,010",75%,25%,West,Mountain,Mountain Plains
3000,MT,"Congressional District (at Large), Montana",2021,8.5%,"93,720",,13%,8%,200%,56%,44%,12.1%,"28,410",66%,34%,West,Mountain,Mountain Plains
3001,MT,"Congressional District 1 (118th Congress), Montana",2022,11.9%,"67,930",,18%,10%,200%,54%,46%,17.1%,"18,810",61%,39%,West,Mountain,Mountain Plains
3001,MT,"Congressional District 1 (118th Congress), Montana",2023,11.8%,"68,280",,18%,11%,200%,56%,45%,15.7%,"17,540",56%,44%,West,Mountain,Mountain Plains
3002,MT,"Congressional District 2 (118th Congress), Montana",2022,11.4%,"63,050",,20%,10%,200%,50%,50%,16.7%,"20,770",61%,39%,West,Mountain,Mountain Plains
3002,MT,"Congressional District 2 (118th Congress), Montana",2023,12.9%,"71,610",,21%,11%,200%,62%,38%,18.2%,"22,560",70%,30%,West,Mountain,Mountain Plains
3101,NE,"Congressional District 1 (116th Congress), Nebraska",2019,11.7%,"76,100",30%,22%,10%,130%,40%,60%,14.8%,"22,920",64%,36%,Midwest,West North Central,Mountain Plains
3101,NE,"Congressional District 1, Nebraska",2020,9.8%,"63,840",29%,22%,8%,165%,59%,41%,13.1%,"20,530",72%,29%,Midwest,West North Central,Mountain Plains
3101,NE,"Congressional District 1, Nebraska",2021,9.9%,"65,560",28%,20%,9%,165%,43%,57%,11.7%,"18,360",71%,29%,Midwest,West North Central,Mountain Plains
3101,NE,"Congressional District 1 (118th Congress), Nebraska",2022,13.5%,"88,780",32%,28%,11%,165%,39%,61%,18.2%,"27,930",58%,42%,Midwest,West North Central,Mountain Plains
